filename,page_number,sample_location,sample_date,northeast_state,temperature,ph,dissolved_oxygen,bod,nitrate_n,fecal_coliform,total_coliform,fecal_streptococci
NWMP_DATA_2022.pdf,3,"Guwahati, Assam",2022,Assam,18.0,6.7,19.0,8.72,7.0,46.0,674.0,
NWMP_DATA_2022.pdf,5,"Sri Krishna Tank, Assam",2022,Assam,18.0,7.1,19.0,2.4,1.6,166.0,0.33,
NWMP_DATA_2022.pdf,6,"NH-31 Monitoring Point, Assam",2022,Assam,18.0,6.9,19.0,2.6,0.9,206.0,0.32,
NWMP_DATA_2022.pdf,38,"Imphal, Manipur",2022,Manipur,18.0,7.5,7.0,3.2,3.5,25.0,11.0,
NWMP_DATA_2022.pdf,39,"Water Quality Station, Mizoram",2022,Mizoram,18.0,7.2,19.0,46.0,1.8,7.0,240.0,
NWMP_DATA_2022.pdf,62,"Agartala, Tripura",2022,Tripura,19.0,6.11,5.300000000000001,0.32,1.7,5.0,94.0,
NWMP_DATA_2022.pdf,63,"Sardarnagar, Agartala, Tripura",2022,Tripura,19.0,5.95,5.300000000000001,0.32,1.7,5.0,94.0,
Water_pond_tanks_2020.pdf,1,"Deepor Beel Lake, Assam",2021,Assam,18.0,4.8,19.0,8.72,2.8,1.45,3.0,
Water_pond_tanks_2020.pdf,2,"Deepor Beel Lake, Assam",2021,Assam,18.0,8.100000000000001,19.0,8.72,16.3,2.2,2900.0,
Water_pond_tanks_2020.pdf,18,"Loktak Lake, Bishnupur, Manipur",2021,Manipur,18.0,8.2,7.0,3.2,4.0,1.6,11.0,
water_pond_tanks_2021.pdf,3,"Deepor Beel Lake, Assam",2021,Assam,18.0,4.8,19.0,8.72,2.6,1.2,910.0,
water_pond_tanks_2021.pdf,19,"Loktak Lake, Bishnupur, Manipur",2021,Manipur,18.0,7.9,7.0,3.2,2.9,1.0,6.0,
Water_pond_tanks_2022.pdf,3,"Deepor Beel Lake, Assam",2022,Assam,18.0,6.2,19.0,8.72,3.7,1.88,914.0,
Water_pond_tanks_2022.pdf,4,"Deepor Beel Lake, Assam",2022,Assam,18.0,9.0,19.0,8.72,2.8,2.1,910.0,
Water_pond_tanks_2022.pdf,5,"Deepor Beel Lake, Assam",2022,Assam,18.0,9.5,19.0,8.72,2.8,1.8,720.0,
Water_pond_tanks_2022.pdf,29,"Pariyat Tank, Imphal, Manipur",2022,Manipur,18.0,7.8,7.0,3.2,4.8,2.6,79.0,
Water_pond_tanks_2022.pdf,30,"Pumlen Lake, Thoubal, Manipur",2022,Manipur,18.0,7.5,7.0,3.2,3.4,125.0,140.0,
Water_pond_tanks_2022.pdf,31,"Umiam Lake, Meghalaya",2022,Meghalaya,18.0,7.8,7.0,3.2,3.6,30.0,11.0,
Water_pond_tanks_2022.pdf,53,"Rudrasagar Lake, Melaghar, Tripura",2022,Tripura,19.0,6.8,5.300000000000001,0.76,1.7,1.9,63.0,
Water_pond_tanks_2023.pdf,2,"Chandubi Lake, Assam",2023,Assam,18.0,7.6,19.0,8.72,2.9,2.9,240.0,
Water_pond_tanks_2023.pdf,3,"Doloo Lake, Tinsukia, Assam",2021,Assam,18.0,9.6,19.0,8.72,5.8,2.1,1500.0,
Water_pond_tanks_2023.pdf,4,"Satra Pond, Kamrup, Assam",2021,Assam,18.0,7.6,19.0,8.72,2.7,1.9,360.0,
Water_pond_tanks_2023.pdf,25,"Loktak Lake, Bishnupur, Manipur",2023,Manipur,18.0,7.9,7.0,3.2,2.4,1.9,2.0,
Water_pond_tanks_2023.pdf,26,"Loktak Lake, Bishnupur, Manipur",2023,Manipur,18.0,7.5,7.0,3.2,3.5,25.0,11.0,
Water_pond_tanks_2023.pdf,27,"Tamdil Lake, Mizoram",2023,Mizoram,18.0,6.6,19.0,46.0,1.4,7.0,240.0,
Water_Quality_data_of_Med_Min_River_2022.pdf,20,"Imphal, Manipur",2022,Manipur,18.0,7.0,7.0,3.2,3.5,290.0,11.0,
Water_Quality_data_of_Med_Min_River_2022.pdf,21,"Umngot River, Meghalaya",2022,Meghalaya,13.0,7.7,12.0,75.0,2.1,0.58,63.0,
Water_Quality_data_of_Med_Min_River_2022.pdf,22,"Umngot River, Meghalaya",2022,Meghalaya,13.0,6.7,4.0,9.2,0.41,4100.0,17000.0,
Water_Quality_data_of_Med_Min_River_2022.pdf,28,"Agartala, Tripura",2022,Tripura,19.0,7.0,5.2,1.2,0.7,22.0,84.0,
Water_Quality_data_of_Med_Min_River_2022.pdf,29,"Agartala, Tripura",2022,Tripura,19.0,7.1,5.4,1.3,0.9,27.0,94.0,
