ID,Unique_ID,State_UT,District,Disease_Illness,No_of_Cases,No_of_Deaths,Date_of_Start_of_Outbreak,Date_of_Reporting,Current_Status,Comments_Action_Taken,Source_Table,Source_PDF,Northeast_State
1,AS/KMR/2020/01/0003,Assam,Kamrup,Acute Diarrheal Disease,58.0,0.0,31-12-19,03-01-19,Under Control,"Cases reported from Village Rawanboi. SC Gondhmow, BPHC Sualkuchi. District RRT investigated the outbreak. House to house survey done. Cases presented with vomiting, low grade fever, loose stools and pain abdomen after consuming food in a religious gathering. Food samples collected and sent to Micro...",2,1.pdf,Assam
2,AS/DHE/2023/27/669,Assam,Dhemaji,Acute Diarrheal Disease,7.0,7.0,01-07-23,08-07-23,Under Surveillance,"Cases reported from village Abom Nala, sub- district Jonai, Block Jonai, MPHC Dekapam. Cases presented with symptoms of abdominal pain, Vomiting, loose motion and headache. 2 water samples collected and sent for MPN test to DPHL Dhemaji. The reports showed no growth of Coliform Bacilli/10ml (excelle...",2,2023_week27th_google_drive_outbreak.pdf,Assam
3,AS/DAR/2023/28/717,Assam,Darrang,Acute Diarrheal Disease,9.0,7.0,08-07-23,15-07-23,Under Control,"Cases reported from Village Satkhali, sub- district Sipajhar, District Darrang. Cases presented with loose motion, pain abdomen and vomiting. Two rectal swab and one water sample sent to DPHL Darrang. District RRT investigated the outbreak. Rectal swab came negative for any pathogens while water sam...",2,2023_week28th_google_drive_outbreak.pdf,Assam
4,AR/TWN/2023/30/813,Arunachal Pradesh,Tawang,Acute Diarrheal Disease,27.0,7.0,22-07-23,29-07-23,Under Surveillance,"Cases were reported from Village Shyaro, Sub- district Lhou Circle, District Tawang. Cases presented with loose motion and vomiting. District RRT investigated the outbreak. All cases were from Netaji Subash Chandra Avasiya Vidyala, Shyaro. Cases were treated symptomatically ORS packets distributed a...",2,2023_week30th_google_drive_outbreak.pdf,Arunachal Pradesh
5,AS/LKM/2023/30/814,Assam,Lakhimpur,Acute Diarrheal Disease,29.0,7.0,22-07-23,29-07-23,Under Surveillance,"Cases were reported from Village Burha Burihi, Sub-district Narayanpur, District Lakhimpur. Cases presented with loose motion, vomiting, fever and abdominal pain. 4 Stool samples and 2 water samples were sent to DPHL Telhi. District RRT investigated the outbreak. All cases consumed Prasad in a house...",2,2023_week30th_google_drive_outbreak.pdf,Assam
6,AS/BPT/2023/39/1309,Assam,Bajali,Food Poisoning,26.0,9.0,23-09-23,30-09-23,Under Control,"Cases were reported from Pathsala SDCH, Village Titka Garia, Sub-District Bajali. Cases presented with symptoms of vomiting, pain abdomen, raised body temperature and headache. The affected cases had gather in a local religious function on 23-09-2023. In the function they consumed Maah-Prasad. Three...",2,2023_week39th_google_drive_outbreak.pdf,Assam
7,AR/USG/2023/41/1404,Arunachal Pradesh,Upper Siang,Acute Diarrheal Disease,7.0,10.0,07-10-23,14-10-23,Under Surveillance,"Cases were reported from Village Damro, Sub- District Mariyang, District Upper Siang. Cases presented with loose motion, nausea, vomiting and mild fever. Total 9 stool samples were collected and sent to Bamkin Partin General Hospital (BPGH) Pasighat, East Siang. District RRT investigated the outbrea...",2,2023_week41st_google_drive_outbreak.pdf,Arunachal Pradesh
8,AS/KMM/2023/50/1770,Assam,Kamrup,Acute Diarrheal Disease,13.0,12.0,09-12-23,16-12-23,Under Surveillance,"Cases were reported from Village Kalmani, Sub-District Rangia District Kamrup. Cases presented with loose stools, vomiting, pain abdomen and fever. Total 1 rectal swab, 2 water samples and food samples were collected and sent to DPHL Kamrup and State Public Health Laboratory Guwahati. District RRT i...",2,2023_week50th_google_drive_outbreak.pdf,Assam
9,AS/UAL/2023/52/1845,Assam,Udalguri,Acute Diarrheal Disease,30.0,12.0,23-12-23,30-12-23,Under Surveillance,"Cases were reported from Sub-District Khoirabari, District Udalguri. Cases presented with symptoms of Vomiting, nausea. District RRT investigated the outbreak. They developed the symptoms after eating the sweets at a local shop. Cases were treated symptomatically. Community awareness and health educ...",2,2023_week52nd_google_drive_outbreak.pdf,Assam
10,AS/SNT/2024/10/348,Assam,Biswanath,Hepatitis A,2.0,3.0,04-03-24,11-03-24,Under Surveillance,"Cases were reported from village Tinigharia (N.C. Chirakhowa Chapari), Sub-District Gohpur, District Biswanath. Cases presented with loss of appetite, yellowish discoloration of eyes, fever, nausea and vomiting. 35 blood samples were collected and sent to GMCH. 12 samples came positive for Hepatitis...",2,2024_week10th_google_drive_outbreak.pdf,Assam
